Ward_name,School_name
Latchmere,Christ Church CofE Primary School
Thamesfield,"All Saints' CofE Primary School, Putney"
Roehampton and Putney Heath,The Alton School
West Hill,Albemarle Primary School
West Hill,Ronald Ross Primary School
Roehampton and Putney Heath,Heathmere Primary School
West Putney,Granard Primary School
West Hill,Southmead Primary School
Southfields,Sheringdale Primary School
Shaftesbury,Wix Primary School
Southfields,West Hill Primary School
Wandsworth Common,Swaffield Primary School
Tooting,Smallwood Primary School and Language Unit
Shaftesbury,Shaftesbury Park Primary School
Graveney,Sellincourt Primary School
Southfields,Riversdale Primary School
Bedford,Ravenstone Primary School
Furzedown,Penwortham Primary School
Shaftesbury,John Burns Primary School
Thamesfield,Hotham Primary School
Northcote,Honeywell Infant School
Northcote,Honeywell Junior School
Fairfield,High View Primary School
Furzedown,Furzedown Primary School
Graveney,Franciscan Primary School
Tooting,Fircroft Primary School
Latchmere,Falconbrook Primary School
Earlsfield,Earlsfield Primary School
Furzedown,Eardley School
Latchmere,Chesterton Primary School
Tooting,Broadwater Primary School
Thamesfield,Brandlehow Primary School
Wandsworth Common,Beatrix Potter Primary School
Fairfield,Allfarthing Primary School
Balham,Alderbrook Primary School
Mile End East,Beatrice Tate School
Bow West,Phoenix School
Bow West,Phoenix School
Bethnal Green North,Raine's Foundation School
Shadwell,Bishop Challoner Catholic Federations of Girls School
St. Dunstan's and Stepney Green,Sir John Cass Foundation and Redcoat Church of England Secondary School
Bow West,Central Foundation Girls' School
Blackwall and Cubitt Town,George Green's School
Bethnal Green South,Swanlea School
Bethnal Green North,Oaklands School
Mile End East,St Paul's Way Trust School
Mile End East,St Paul's Way Trust School
St. Dunstan's and Stepney Green,Stepney Green Mathematics and Computing College
Shadwell,Mulberry School for Girls
Mile End and Globe Town,Morpeth School
East India and Lansbury,Langdon Park Community School
Bromley-by-Bow,Bow School
Whitechapel,English Martyrs Roman Catholic Primary School
East India and Lansbury,St Saviour's Church of England Primary School
St. Katharine's and Wapping,St Peter's London Docks CofE Primary School
St. Katharine's and Wapping,St Paul's Whitechapel Church of England Primary School
Mile End East,St Paul with St Luke CofE Primary School
Weavers,St Matthias Church of England Primary School
Blackwall and Cubitt Town,St Luke's Church of England Primary School
Bethnal Green North,St John's Church of England Primary School
Millwall,St Edmund's Catholic School
Spitalfields and Banglatown,St Anne's Catholic Primary School
Bromley-by-Bow,St Agnes RC Primary School
Limehouse,Stepney Greencoat Church of England Primary School
Bow West,Guardian Angels Roman Catholic Primary School
Spitalfields and Banglatown,Christ Church CofE School
Weavers,William Davis Primary School
East India and Lansbury,Bygrove Primary School
Whitechapel,Smithy Street School
Whitechapel,Kobi Nazrul Primary School
Shadwell,Bigland Green Primary School
St. Dunstan's and Stepney Green,Halley Primary School
Bethnal Green South,Bangabandhu Primary School
St. Katharine's and Wapping,Hermitage Primary School
St. Katharine's and Wapping,Shapla Primary School
Spitalfields and Banglatown,Osmani Primary School
Blackwall and Cubitt Town,Cubitt Town Infants' School
Millwall,Seven Mills Primary School
Weavers,Thomas Buxton Primary School
Blackwall and Cubitt Town,Woolmore Primary School
Mile End East,Wellington Primary School
Weavers,Virginia Primary School
Bethnal Green South,Stewart Headlam Primary School
Mile End East,Stebon Primary School
East India and Lansbury,Manorfield Primary School
Whitechapel,Redlands Primary School
Bow West,Olga Primary School
Shadwell,Blue Gate Fields Infants' School
Bethnal Green North,Mowlem Primary School
East India and Lansbury,Mayflower Primary School
Bromley-by-Bow,Marner Primary School
St. Dunstan's and Stepney Green,Marion Richardson Primary School
Bethnal Green North,Elizabeth Selby Infants' School
Bethnal Green North,Lawdale Junior School
Bethnal Green South,John Scurr Primary School
Millwall,Harbinger Primary School
Bethnal Green South,Hague Primary School
Mile End and Globe Town,Globe Primary School
Bromley-by-Bow,The Clara Grant Primary School
Limehouse,Cyril Jackson Primary School
Blackwall and Cubitt Town,Cubitt Town Junior School
Weavers,Columbia Primary School
Bow West,Chisenhale Primary School
Shadwell,Blue Gate Fields Junior School
St. Dunstan's and Stepney Green,Cayley Primary School
Spitalfields and Banglatown,Canon Barnett Primary School
Bromley-by-Bow,Old Palace Primary School
Mile End and Globe Town,Bonner Primary School
St. Dunstan's and Stepney Green,Ben Jonson Primary School
Grange,Beormund Primary School
Livesey,Haymerle School
South Bermondsey,Spa School
Camberwell Green,Highshore School
Cathedrals,Notre Dame Roman Catholic Girls' School
Nunhead,The St Thomas the Apostle College
Cathedrals,Friars Primary Foundation School
Camberwell Green,St Joseph's Catholic Infants School
Camberwell Green,St Joseph's Catholic Junior School
East Dulwich,St Anthony's Catholic Primary School
Peckham Rye,St Francesca Cabrini Primary School
Chaucer,St Saviour's and St Olave's Church of England School
Surrey Docks,St John's Roman Catholic Primary School
Cathedrals,The Cathedral School of St Saviour and St Mary Overy
Faraday,St Peter's Church of England Primary School
Newington,"St Paul's Church of England Primary School, Walworth"
Surrey Docks,Peter Hills with St Mary's and St Paul's CofE Primary School
The Lane,St Mary Magdalene Church of England Primary School
Cathedrals,St Jude's Church of England Primary School
Cathedrals,"Saint Joseph's Catholic Primary School, the Borough"
Rotherhithe,St Joseph's Catholic Primary School
Riverside,St Joseph's Roman Catholic Primary School
East Walworth,St John's Walworth Church of England Primary School
The Lane,St Johns' and St Clements Church of England Primary School
Riverside,St James' Church of England Primary School
Cathedrals,St George's Cathedral Catholic Primary School
Brunswick Park,St George's Church of England Primary School
Livesey,St Francis RC Primary School
Peckham,St James the Great Roman Catholic Primary School
East Walworth,English Martyrs Roman Catholic Primary School
Village,Dulwich Village Church of England Infants' School
Grange,Boutcher Church of England Primary School
Brunswick Park,Oliver Goldsmith Primary School
Rotherhithe,Alfred Salter Primary School
Livesey,Pilgrims' Way Primary School
South Bermondsey,Phoenix Primary School
Cathedrals,Charlotte Sharman Primary School
East Walworth,Victory School
East Walworth,Townsend Primary School
Riverside,Tower Bridge Primary School
Riverside,Southwark Park School
Grange,Snowsfields Primary School
Rotherhithe,Rotherhithe Primary School
East Walworth,Robert Browning Primary School
Riverside,Riverside Primary School
Faraday,Michael Faraday School
Brunswick Park,Lyndhurst Primary School
College,Dulwich Wood Primary School
Newington,Keyworth Primary School
Camberwell Green,John Ruskin Primary School and Language Classes
Nunhead,Ivydale Primary School
Livesey,Ilderton Primary School
Nunhead,Hollydale Primary School
East Dulwich,Heber Primary School
Grange,Grange Primary School
East Dulwich,Goodrich Community Primary School
South Camberwell,Dog Kennel Hill School
Camberwell Green,Crawford Primary School
Newington,Crampton School
Camberwell Green,Comber Grove School
East Walworth,Cobourg Primary School
Cathedrals,Charles Dickens Primary School
Livesey,Camelot Primary School
The Lane,Bellenden Primary School
Rotherhithe,Albion Primary School
Bellingham,Watergate School
Bellingham,Greenvale School
Bellingham,Brent Knoll School
Bellingham,Brent Knoll School
Telegraph Hill,Turnham Primary Foundation School
Whitefoot,Bonus Pastor Catholic College
Ladywell,Prendergast School
Lee Green,"Trinity Church of England School, Lewisham"
Lee Green,"Trinity Church of England School, Lewisham"
Brockley,Addey and Stanhope School
Crofton Park,Prendergast Ladywell School
Crofton Park,Prendergast Ladywell School
Perry Vale,Forest Hill School
Bellingham,Sedgehill School
Whitefoot,Conisborough College
Forest Hill,Sydenham School
New Cross,Deptford Green School
Catford South,Holy Cross Roman Catholic Primary School
Crofton Park,St William of York Catholic Primary School
Brockley,St Stephen's Church of England Primary School
Lewisham Central,St Saviour's Catholic Primary School
Sydenham,Our Lady and St Philip Neri Roman Catholic Primary School
Sydenham,St Michael's Church of England Primary School
Lewisham Central,St Mary's Lewisham Church of England Primary School
Evelyn,St Joseph's Catholic Primary School
Whitefoot,St John Baptist Southend Church of England Primary School
Brockley,St James's Hatcham Church of England Primary School
Sydenham,St Bartholomews's Church of England Primary School
Bellingham,St Augustine's Catholic Primary School and Nursery
Blackheath,St Margaret's Lee CofE Primary School
Forest Hill,Holy Trinity Church of England Primary School
Downham,Good Shepherd RC School
Perry Vale,St George's CofE Primary School
Crofton Park,St Mary Magdalen's Catholic Primary School
Blackheath,All Saints' Church of England Primary School
Perry Vale,Kilmorie Primary School
Lee Green,Brindishe Lee School
Brockley,Ashmead Primary School
Perry Vale,Perrymount Primary School
Forest Hill,Horniman Primary School
Brockley,Myatt Garden Primary School
Evelyn,Sir Francis Drake Primary School
Forest Hill,Eliot Bank Primary School
Forest Hill,Fairlawn Primary School
Blackheath,John Ball Primary School
Catford South,Torridon Infant School
Catford South,Torridon Junior School
Crofton Park,Stillness Infant School
Crofton Park,Stillness Junior School
Catford South,Sandhurst Infant and Nursery School
Catford South,Sandhurst Junior School
Catford South,Rushey Green Primary School
Rushey Green,Rathfern Primary School
Downham,Rangefield Primary School
Grove Park,Marvels Lane Primary School
Brockley,Lucas Vale Primary School
Lee Green,Brindishe Manor School
Downham,Launcelot Primary School
Telegraph Hill,Kender Primary School
Forest Hill,Kelvin Grove Primary School
Telegraph Hill,John Stainer Community Primary School
Rushey Green,Holbeach Primary School
Lewisham Central,Brindishe Green School
Bellingham,Haseltine Primary School
Evelyn,Grinling Gibbons Primary School
Ladywell,Gordonbrock Primary School
Whitefoot,Forster Park Primary School
Bellingham,Elfrida Primary School
Telegraph Hill,Edmund Waller Primary School
Downham,Downderry Primary School
Evelyn,Deptford Park Primary School
Crofton Park,Dalmain Primary School
Grove Park,Cooper's Lane Primary School
New Cross,Childeric Primary School
Crofton Park,Beecroft Garden Primary
Grove Park,Baring Primary School
Bellingham,Athelney Primary School
Perry Vale,Adamsrill Primary School
Larkhall,Lansdowne School
Bishop's,London Nautical School
Oval,Archbishop Tenison's School
Streatham Wells,Bishop Thomas Grant Catholic Secondary School
Thornton,La Retraite Roman Catholic Girls' School
Clapham Common,St Mary's Roman Catholic Primary School
Vassall,Reay Primary School
Streatham South,Immanuel and St Andrew Church of England Primary School
Streatham Wells,St Andrew's Catholic Primary School
Thornton,St Bede's Catholic Infant School
Oval,St Anne's Catholic Primary School
Thornton,St Bernadette Catholic Junior School
Vassall,Saint Gabriel's College
Oval,Lilian Baylis Technology School
Knight's Hill,Norwood School
Ferndale,St Helen's Catholic School
Tulse Hill,Holy Trinity Church of England Primary School
Stockwell,St Stephen's Church of England Primary School
Herne Hill,St Saviour's Church of England Primary School
Oval,St Mark's Church of England Primary School
Knight's Hill,St Luke's Church of England Primary School
St. Leonard's,St Leonard's Church of England Primary School
Herne Hill,St Jude's Church of England Primary School
Coldharbour,St John's Angell Town Church of England Primary School
Camberwell Green,St John the Divine Church of England Primary School
Larkhall,St Andrew's Church of England Primary School
Clapham Town,Macaulay Church of England Primary School
Brixton Hill,"Christ Church , Streatham Church of England Primary School"
Vassall,Christ Church Primary SW9
Prince's,Archbishop Sumner Church of England Primary School
Streatham Hill,Streatham Wells Primary School
Oval,Herbert Morrison Primary School
Knight's Hill,Julian's School
Thornton,Glenbrook Primary School
Stockwell,Allen Edwards Primary School
Gipsy Hill,Elm Wood School
Tulse Hill,Fenstanton Primary School
Knight's Hill,Crown Lane Primary School
Oval,Wyvil Primary School and Centres for Children With Speech and Language Impairment and Autism
Streatham South,Woodmansterne Primary School
Bishop's,Walnut Tree Walk Primary School
Prince's,Vauxhall Primary School
Thornton,Telferscot Primary School
Streatham Wells,Sunnyhill Primary School
Brixton Hill,Sudbourne Primary School
Ferndale,Stockwell Primary School
Brixton Hill,Richard Atkins Primary School
Gipsy Hill,Paxton Primary School
Larkhall,Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism)
Gipsy Hill,Kingswood Primary School
Herne Hill,Jessop Primary School
Thornton,Henry Cavendish Primary School
Clapham Town,Heathbrook Primary School
Streatham South,Granton Primary School
Clapham Town,Clapham Manor Primary School
Oval,Ashmole Primary School
St. Charles,St Charles Catholic Primary School
Courtfield,Our Lady of Victories RC Primary School
St. Charles,Sion-Manning RC Girls' School
Hans Town,Saint Thomas More Language College
Redcliffe,Servite RC Primary School
Golborne,Saint Mary's Catholic Primary School
Earl's Court,St Cuthbert with St Matthias CofE Primary School
Campden,St Mary Abbots CofE Primary School
Hans Town,St Joseph RC Primary School
Norland,St Clement and St James CofE Primary School
Norland,Saint Francis of Assisi Catholic Primary School
Abingdon,St Barnabas and St Philip's CofE Primary School
Golborne,St Thomas' CofE Primary School
Brompton,Oratory Roman Catholic Primary School
Hans Town,Holy Trinity CofE Primary School
Royal Hospital,Christ Church CofE Primary School
Notting Barns,Thomas Jones Primary School
Norland,Avondale Park Primary School
Stanley,Park Walk Primary School
Notting Barns,Oxford Gardens Primary School
Campden,Fox Primary School
Colville,Colville Primary School
Redcliffe,Bousfield Primary School
Golborne,Bevington Primary School
St. Charles,Barlby Primary School
Cremorne,Ashburnham Community School
Highbury East,Samuel Rhodes MLD School
Highbury East,Samuel Rhodes MLD School
Hillrise,Mount Carmel Catholic College for Girls
Junction,St Aloysius RC College
Bunhill,Central Foundation Boys' School
Barnsbury,Elizabeth Garrett Anderson School
Highbury West,Highbury Fields School
St. George's,Holloway School
Highbury East,Highbury Grove School
Caledonian,Blessed Sacrament RC Primary School
Tollington,Christ The King RC Primary School
Highbury East,St Joan of Arc RC Primary School
Caledonian,St Andrew's (Barnsbury) Church of England Primary School
Bunhill,St Peter and St Paul RC Primary School
St. Mary's,St Mary's CofE Primary School
Tollington,St Mark's CofE Primary School
Bunhill,St Luke's CofE Primary School
Mildmay,St Jude and St Paul's CofE Primary School
Junction,St Joseph's RC Primary School
Highbury West,St John's Highbury Vale CofE Primary School
Junction,St John's Upper Holloway CofE Primary School
St. Peter's,St John Evangelist RC Primary School
Holloway,Sacred Heart Catholic Primary School
Clerkenwell,Clerkenwell Parochial CofE Primary School
Holloway,Hungerford Primary School and Children's Centre
Bunhill,Prior Weston Primary School and Children's Centre
Hillrise,Ashmount Primary School
Mildmay,Highbury Quadrant Primary School
St. George's,Tufnell Park Primary School
Junction,Yerbury Primary School
Caledonian,Winton Primary School
Barnsbury,Vittoria Primary School
Barnsbury,Thornhill Primary School
Caledonian,Robert Blair Primary School
Finsbury Park,Pakeman Primary School
Bunhill,Moreland Primary School
St. Mary's,Laycock Primary School
Junction,Hargrave Park Primary School
St. Peter's,Hanover Primary School
Finsbury Park,Grafton Primary School
Highbury West,Gillespie Primary School
Tollington,Duncombe Primary School
Highbury East,Drayton Park Primary School
Caledonian,Copenhagen Primary School
Highbury West,Ambler Primary School and Children's Centre
Shepherd's Bush Green,Jack Tizard School
Shepherd's Bush Green,Jack Tizard School
College Park and Old Oak,Woodlane High School
Wormholt and White City,Queensmill School
Wormholt and White City,Queensmill School
Wormholt and White City,Phoenix High School
Fulham Broadway,St Thomas of Canterbury Catholic Primary School
Wormholt and White City,St John XXIII Catholic Primary School
Askew,Good Shepherd RC Primary School
Shepherd's Bush Green,St Stephen's CofE Primary School
Ravenscourt Park,St Peter's Primary School
Hammersmith Broadway,St Paul's CofE Primary School
Addison,St Mary's Catholic Primary School
Town,St Johns Walham Green Church of England Primary School
Fulham Reach,St Augustine's RC Primary School
Ravenscourt Park,John Betts Primary School
Parsons Green and Walham,Holy Cross RC School
Palace Riverside,All Saints CofE Primary School
Wormholt and White City,Wormholt Park Primary School
Askew,Wendell Park Primary School
Sands End,Sulivan Primary School
Fulham Broadway,Sir John Lillie Primary School
Palace Riverside,Queen's Manor School and Special Needs Unit
College Park and Old Oak,Old Oak Primary School
Fulham Reach,Melcombe Primary School
College Park and Old Oak,Kenmont Primary School
Fulham Broadway,Fulham Primary School
Ravenscourt Park,Flora Gardens Primary School
Shepherd's Bush Green,Miles Coverdale Primary School
Hammersmith Broadway,Brackenbury Primary School
Avonmore and Brook Green,Avonmore Primary School
Addison,Addison Primary School
Frognal and Fitzjohns,Ickburgh School
Frognal and Fitzjohns,Ickburgh School
Stoke Newington Central,The Garden School
Stoke Newington Central,The Garden School
Hackney Downs,Stormont House School
Chatham,Cardinal Pole Roman Catholic School
Chatham,The Urswick School - A Church of England Secondary School
New River,Our Lady's Convent Roman Catholic High School
Clissold,Stoke Newington School and Sixth Form
Haggerston,Haggerston School
Cazenove,Simon Marks Jewish Primary School
Hackney Downs,St Scholastica's Catholic Primary School
Lordship,"St Mary's Church of England Primary School, Stoke Newington"
Victoria,St John of Jerusalem Church of England Primary School
Queensbridge,St Paul's with St Michael's Primary School
Hoxton,St Monica's Roman Catholic Primary School
Clissold,St Matthias Church of England Primary School
Hoxton,St John the Baptist Voluntary Aided Church of England Primary School
De Beauvoir,Our Lady and St Joseph Catholic Primary School
King's Park,Mandeville Primary School
Hackney Downs,Benthal Primary School
Brownswood,Parkwood Primary School
Lordship,Grazebrook Primary School
Lordship,Holmleigh Primary School
Springfield,Harrington Hill Primary School
Hackney Downs,Baden-Powell School
Hackney Downs,Nightingale Primary School
Cazenove,Jubilee Primary School
Clissold,Grasmere Primary School
New River,Sir Thomas Abney School
King's Park,Kingsmead Primary School
New River,Woodberry Down Community Primary School
De Beauvoir,Whitmore Primary School
Cazenove,Tyssen Community Primary School
Hoxton,Thomas Fairchild Community School
Leabridge,Southwold Primary School
Dalston,Shacklewell Primary School
Haggerston,Sebright School
Haggerston,Randal Cremer Primary School
Victoria,Orchard Primary School
Chatham,Morningside Primary School
Leabridge,Millfields Community School
Queensbridge,London Fields Primary School
Victoria,Lauriston School
Wick,Gainsborough Primary School
King's Park,Daubeney Primary School
Dalston,Colvestone Primary School
Chatham,Berger Primary School
Middle Park and Sutcliffe,Moatbridge School
Thamesmead Moorings,Hawksmoor School
Greenwich West,St Ursula's Convent School
Blackheath Westcombe,The John Roan School
Eltham West,Thomas Tallis School
Glyndon,Plumstead Manor School
Middle Park and Sutcliffe,Eltham Hill School
Thamesmead Moorings,Bishop John Robinson Church of England Primary School
Thamesmead Moorings,St Margaret Clitherow Catholic Primary School
Woolwich Common,Notre Dame Catholic Primary School
Eltham West,Holy Family Catholic Primary School
Abbey Wood,St Thomas A Becket Roman Catholic Primary School
Eltham West,St Thomas More Catholic Primary School
Woolwich Common,St Peter's Catholic Primary School
Greenwich West,St Alfege with St Peter's Church of England Primary School
Plumstead,St Patrick's Catholic Primary School
Eltham North,St Mary's Catholic Primary School
Woolwich Riverside,Saint Mary Magdalene Church of England All Through School
Woolwich Riverside,Saint Mary Magdalene Church of England All Through School
Glyndon,St Margaret's Church of England Primary School
Peninsula,St Joseph's Catholic Primary School
Charlton,Our Lady of Grace Catholic Primary School
Eltham North,Eltham Church of England Primary School
Shooters Hill,"Christ Church Church of England Primary School, Shooters Hill"
Peninsula,Christ Church Church of England Primary School
Kidbrooke with Hornfair,Charlton Manor Primary School
Woolwich Riverside,Mulgrave Primary School
Shooters Hill,Greenslade Primary School
Woolwich Common,Nightingale Primary School
Thamesmead Moorings,Linton Mead Primary School
Glyndon,Heronsgate Primary School
Thamesmead Moorings,Windrush Primary School
Glyndon,Foxfield Primary School
Woolwich Riverside,Cardwell Primary School
Eltham West,Wingfield Primary School
Abbey Wood,De Lucy Primary School
Plumstead,Rockliffe Manor Primary School
Abbey Wood,Boxgrove Primary School
Coldharbour and New Eltham,Montbelle Primary School
Middle Park and Sutcliffe,Brooklands Primary School
Eltham South,Wyborne Primary School
Woolwich Riverside,Woodhill Primary School
Charlton,Thorntree Primary School
Charlton,Sherington Primary School
Shooters Hill,Plumcroft Primary School
Peninsula,Meridian Primary School
Kidbrooke with Hornfair,Kidbrooke Park Primary School
Blackheath Westcombe,Invicta Primary School
Middle Park and Sutcliffe,Horn Park Primary School
Eltham West,Henwick Primary School
Peninsula,Halstow Primary School
Eltham West,Haimo Primary School
Coldharbour and New Eltham,Greenacres Primary School and Language Impairment Unit
Eltham North,Gordon Primary School
Plumstead,Gallions Mount Primary School
Charlton,Fossdene Primary School
Eltham West,Ealdham Primary School
Charlton,Cherry Orchard Primary School
Greenwich West,Morden Mount Primary School
Plumstead,Bannockburn Primary School
Eltham South,Alderwood Primary School
Peninsula,Millennium Primary School
Swiss Cottage,Swiss Cottage School - Development & Research Centre
Swiss Cottage,Swiss Cottage School - Development & Research Centre
Haverstock,Camden Centre for Learning (CCfL) Special School
Highgate,La Sainte Union Catholic Secondary School
Highgate,William Ellis School
St. Pancras and Somers Town,Maria Fidelis Roman Catholic Convent School FCJ
Cantelowes,The Camden School for Girls
Kentish Town,Acland Burghley School
Fortune Green,Hampstead School
St. Pancras and Somers Town,Regent High School
Highgate,Parliament Hill School
Haverstock,Haverstock School
Camden Town with Primrose Hill,Our Lady Roman Catholic Primary School
Kilburn,St Eugene de Mazenod Roman Catholic Primary School
Swiss Cottage,St Paul's Church of England Primary School
Kentish Town,St Patrick's Catholic Primary School
Camden Town with Primrose Hill,St Michael's Church of England Primary School
St. Pancras and Somers Town,St Mary and St Pancras Church of England Primary School
Holborn and Covent Garden,St Josephs Primary School
Holborn and Covent Garden,St George the Martyr Church of England Primary School
Gospel Oak,St Dominic's Catholic Primary School
St. Pancras and Somers Town,St Aloysius Roman Catholic Infant School
St. Pancras and Somers Town,St Aloysius Roman Catholic Junior School
Holborn and Covent Garden,St Alban's Church of England Primary School
Hampstead Town,Rosary Roman Catholic Primary School
Kentish Town,Kentish Town Church of England Primary School
Camden Town with Primrose Hill,"Holy Trinity and Saint Silas CofE Primary School, NW1"
Frognal and Fitzjohns,"Holy Trinity CofE Primary School, NW3"
Frognal and Fitzjohns,Hampstead Parochial Church of England Primary School
Fortune Green,Emmanuel Church of England Primary School
Regent's Park,Christ Church School
Hampstead Town,"Christ Church Primary School, Hampstead"
Kentish Town,Eleanor Palmer Primary School
Hampstead Town,Fitzjohn's Primary School
Gospel Oak,Gospel Oak Primary School
Kentish Town,Torriano Primary School
St. Pancras and Somers Town,Richard Cobden Primary School
Haverstock,Rhyl Primary School
Camden Town with Primrose Hill,Primrose Hill School
Hampstead Town,New End Primary School
Regent's Park,Netley Primary School
Camden Town with Primrose Hill,Hawley Infant School
Gospel Oak,Fleet Primary School
St. Pancras and Somers Town,Edith Neville Primary School
Gospel Oak,Carlton Primary School
Highgate,Brookfield Primary School
Cantelowes,Brecknock Primary School
Fortune Green,Beckford Primary School
King's Cross,Argyle Primary School
Portsoken,Sir John Cass's Foundation Primary School
Squirrel's Heath,Eagle Haven School
Squirrel's Heath,Eagle Haven School
Eltham South,Charlton Athletic Community Trust Youth
Roxeth,Helios International College
Edmonton Green,Pegasus Centre for Learning
Woolwich Riverside,ASD Learning Centre - Woolwich
Woolwich Riverside,ASD Learning Centre - Woolwich
Bromley Town,Education and Youth Services Ltd
Graveney,Rechere's Academy
Charlton,RIMU Music Preparatory School and Nursery
Whitechapel,East London Islamic School
Manor Park,Ta - Leem Academy
Lea Bridge,Lit College
Willesden Green,Hopewell Special School (Willesden)
Willesden Green,Hopewell Special School (Willesden)
Canons,Eq-Iq School
Fairfield,"Education and Youth Services Ltd (Croydon, Surrey)"
Fulham Reach,Cambian Education - Ravenswood School
Fulham Reach,Cambian Education - Ravenswood School
Tottenham Green,European College for Higher Education
Bloomsbury,The Abbey College In London
Larkswood,Chingford House School
Hounslow West,New London College
Blackwall and Cubitt Town,Docklands Pre-Preparatory School
Green Street East,Alif Academy
Bow East,Opal College London
Markhouse,Academy De London
Stratford and New Town,UK Community College
Brixton Hill,The Family School At Larkhall
Weavers,Greenfields School of Development
Greenhill,Focus School - Harrow Primary Campus
East Dulwich,New Hope Christian Academy
East Dulwich,New Hope Christian Academy
Broad Green,NZO Academy of London & Surrey
Knightsbridge and Belgravia,Abbey College
West Ham,Education Links
Brentford,Unity School
Brentford,Unity School
Blackheath,Hopewell School (Bartram)
Blackheath,Hopewell School (Bartram)
Sydenham,Trinity School
Mile End East,Al-Azhar Primary School
Golborne,Stephenson School
Cathall,The Woodlands  Montessori Preparatory School
Oval,The Lighthouse Group (TLG) Centre
West Finchley,Morasha Jewish Primary School
North Richmond,Falcons Preparatory School for Boys
North Richmond,Falcons Preparatory School for Boys
Plaistow North,Plaistow Jamia Islamia
Selhurst,St Anne's Independent PRU
Selhurst,St Anne's Independent PRU
Rosedale and Bury Green,Focus School - Cheshunt Primary Campus
Underhill,Edgware Jewish Primary School
Queen's Park,The Westside Independent School
Brockley,Schoolhouse Education
Norland,The Walmer Road School
Bensham Manor,RHIS School (Incorporating ALTE School)
Oakleigh,Focus School - Barnet Campus
Sutton North,The Anchor School
Dalston,East London Christian Choir School
Dalston,East London Christian Choir School
Golders Green,Ohel Torah
New River,Lubavitch House School (Junior Boys)
New River,Lubavitch House School (Junior Boys)
New River,Lubavitch House School (Senior Girls)
Southfields,The St Michael Steiner School
Southfields,The St Michael Steiner School
Dollis Hill,Menorah High School
Oval,Five Bridges
Fieldway,Little David's School
Purley,Tudor Lodge School
Hillrise,Beehive School
Coldharbour,New Mind School
De Beauvoir,Mustard School
Valentines,Maytime Preparatory School
Vassall,Excel Preparatory School
Vassall,Excel Preparatory School
Stamford,The Cornerstone School
Stamford,The Cornerstone School
Weston Green,Emberhurst School
Austenwood,Kingscote School
Wexham and Iver West,The Langley Manor Preparatory School
Wexham and Iver West,The Langley Manor Preparatory School
Valentines,Glenarm College
Berrylands,Linley House School
Stanmore Park,Peterborough and St Margaret's School
Stanmore Park,Peterborough and St Margaret's School
Greenhill,Buckingham College School
Pinner South,Heathfield School for Girls
Pinner South,Heathfield School for Girls
Ealing Broadway,Aston House School
Ealing Broadway,Ealing College Upper School
Croham,Folly's End Christian School
Broad Green,New Life Christian School
Cray Meadows,Harenc School
Mill Hill,The Mount School
Mill Hill,The Mount School
West Putney,Putney Park School
West Putney,Putney Park School
Chaucer,Chrysolyte Independent Christian School
Chaucer,Chrysolyte Independent Christian School
Tollington,Holly Park Montessori School
Hampton,Corona Theatre School
Hampton,Corona Theatre School
Hampstead Town,Royal School Hampstead
Hampstead Town,Royal School Hampstead
Ravenscourt Park,The Independent School
Springfield,Talmud Torah London
Southgate,North London Hospital School
Ashtead Park,Wemms Education Centre
Ashtead Park,Wemms Education Centre
Cremorne,Plan B
Bloomsbury,Ecole Jeannine Manuel
Bloomsbury,Ecole Jeannine Manuel
South Hornchurch,Youth Empowerment Education Programme
Barnhill,Lycee International De Londres
Barnhill,Lycee International De Londres
Chalfont Common,Newland College
Northumberland Park,Footsteps Trust
Queen's Gate,The Kensington School
Haggerston,Hackney City Farm
Camberwell Green,Phoenixplace
Cray Valley East,Kent House Hospital School
Abbey,SHC School
Abbey,SHC School
Enfield Highway,Applied Educational Solutions
Enfield Highway,Applied Educational Solutions
Rotherhithe,Bosco Centre College
Forest Gate North,Lyceum Newham
Hackney Central,The Boxing Academy
Botwell,High Peak School
Botwell,High Peak School
Woolwich Riverside,Pulse and Water College
Canonbury,North Bridge House Senior Canonbury
Southgate Green,Focus 1st Academy
Livesey,Treasure House London Cic
Dalston,Inspired Directions School
Raynes Park,The Norwegian Kindergarten In London
Forest Hill,Life In London Uk
Botwell,Arc School Napton
Fulham Reach,Manor Cottage
Fulham Reach,Manor Cottage
Brompton,Westminster Tutors
Golborne,Seacole Primary School
Figge's Marsh,Jus'T'Learn
Esher,Bloo House
Abbey,Face Youth Therapeutic School
Thornton,The Laurels School
Fulham Reach,Chase House School
Fulham Reach,Chase House School
Peckham Rye,Small Acres
Fulham Reach,Bridge School
Kidbrooke with Hornfair,Full Circle Education
Golborne,Epic Learning
Norland,Walmer Road School
Brentford,Kew House
Belvedere,Break Through
Clerkenwell,Dania School
Brookmans Park and Little Heath,Rhodes Farm School
Brookmans Park and Little Heath,Rhodes Farm School
Newbury,Read Academy
Fairfield,The Cedars School
Spitalfields and Banglatown,The Complete Works Independent School
Finchley Church End,Finches School
Finchley Church End,Finches School
Ravensbury,The London Acorn School
Ravensbury,The London Acorn School
Bryanston and Dorset Square,Halcyon London International School
Perry Vale,Rose House Montessori School
Marylebone High Street,L'ecole Internationale Franco-Anglaise Ltd
